,x,y,w,h,frame_id
245,3023,288,149,66,169
246,2723,295,142,57,169
247,2865,299,138,60,169
248,3443,305,181,33,169
249,3209,311,96,35,169
250,3096,333,119,34,169
251,2721,256,89,41,170
252,3424,267,118,38,170
253,2998,289,151,65,170
254,2719,296,127,55,170
255,2846,299,132,60,170
256,3420,306,179,33,170
257,2686,256,139,93,171
258,3400,268,119,38,171
259,3160,276,209,87,171
260,2974,290,152,65,171
261,2824,301,136,59,171
262,3397,307,176,33,171
263,2667,254,139,93,172
264,3376,270,112,36,172
265,3141,281,228,83,172
266,2960,292,146,63,172
267,2806,302,136,58,172
268,3368,308,177,32,172
269,2672,252,84,48,173
270,3352,272,111,37,173
271,3121,280,167,85,173
272,2939,292,145,65,173
273,2652,297,145,49,173
274,2787,302,135,59,173
275,3300,309,215,32,173
276,3118,315,65,35,173
277,3323,273,117,39,174
278,3085,282,166,84,174
279,2918,292,145,65,174
280,3299,310,96,32,174
281,2640,250,99,52,175
282,3301,274,111,37,175
283,2900,293,144,65,175
284,2630,298,125,45,175
285,2752,305,131,59,175
286,2604,248,137,91,176
287,3278,272,106,39,176
288,3054,284,169,83,176
289,2878,295,142,63,176
290,2732,306,134,57,176
291,2589,247,151,92,177
292,3256,274,108,40,177
293,3029,286,154,67,177
294,2860,297,140,62,177
295,2713,306,136,59,177
296,3248,315,88,31,177
297,3094,333,130,34,177
298,2593,244,107,60,178
299,3226,278,112,68,178
300,3008,287,151,67,178
301,2840,296,132,63,178
302,3216,280,96,33,179
303,2990,287,146,68,179
304,2821,296,136,65,179
305,3189,299,101,64,179
306,2553,242,235,125,180
307,3181,279,110,84,180
308,2973,288,144,66,180
309,2805,300,132,61,180
310,3235,314,134,31,180
311,2535,242,237,126,181
312,3160,283,201,81,181
313,2947,290,150,63,181
314,2787,300,132,61,181
315,2534,241,126,65,182
316,3137,286,224,79,182
317,2928,289,142,67,182
318,2767,299,132,65,182
319,2627,312,124,56,182
320,2512,240,192,129,183
321,3108,282,165,84,183
322,2908,289,142,68,183
323,2705,302,196,79,183
324,2502,236,118,88,184
325,3086,283,158,84,184
326,2888,290,141,68,184
327,2730,304,131,60,184
328,2592,315,111,54,184
329,2471,235,145,87,185
330,3067,284,167,83,185
331,2868,289,143,71,185
332,2713,304,128,61,185
