,x,y,w,h,frame_id
1075,99,368,148,49,318
1076,359,416,147,48,318
1077,531,418,178,35,318
1078,85,421,207,36,318
1079,943,308,157,94,319
1080,357,366,85,47,319
1081,74,369,143,49,319
1082,359,417,122,47,319
1083,502,417,81,32,319
1084,555,417,134,36,319
1085,48,421,217,52,319
1086,928,309,146,94,320
1087,44,368,141,50,320
1088,355,368,55,46,320
1089,359,416,94,48,320
1090,563,417,98,36,320
1091,456,418,97,35,320
1092,21,423,129,51,320
1093,123,423,117,35,320
1094,911,310,145,93,321
1095,248,365,52,50,321
1096,12,368,146,52,321
1097,437,416,114,37,321
1098,359,417,67,47,321
1099,552,418,97,34,321
1100,225,419,75,41,321
1101,114,424,95,34,321
1102,888,313,159,90,322
1103,214,364,86,51,322
1104,359,416,161,48,322
1105,511,418,101,35,322
1106,190,420,110,36,322
1107,84,424,89,32,322
1108,868,313,154,91,323
1109,185,364,115,51,323
1110,377,415,206,47,323
1111,168,419,133,40,323
1112,17,424,127,49,323
1113,848,315,151,90,324
1114,154,362,140,53,324
1115,360,417,195,47,324
1116,134,419,166,40,324
1117,832,314,157,92,325
1118,124,363,142,52,325
1119,359,414,178,50,325
1120,104,419,196,40,325
1121,811,317,161,89,326
1122,92,362,143,52,326
1123,359,417,147,47,326
1124,74,419,212,37,326
1125,787,319,166,93,327
1126,59,363,146,51,327
1127,360,415,118,49,327
1128,148,420,107,38,327
1129,30,421,126,52,327
1130,356,288,231,126,328
1131,767,320,151,93,328
1132,32,364,144,54,328
1133,359,416,94,48,328
1134,250,420,51,39,328
1135,359,287,203,127,329
1136,747,322,165,105,329
1137,241,359,59,57,329
1138,359,417,66,47,329
1139,224,420,76,39,329
1140,358,289,180,125,330
1141,729,322,158,92,330
1142,217,356,85,61,330
1143,195,419,106,40,330
1144,358,292,158,122,331
1145,711,323,154,92,331
1146,180,356,124,62,331
1147,165,419,136,40,331
1148,354,291,134,122,332
1149,689,326,152,88,332
1150,155,356,144,60,332
1151,652,418,158,31,332
1152,217,420,83,39,332
1153,133,421,91,37,332
1154,357,292,125,121,333
1155,667,324,156,90,333
1156,124,352,175,65,333
1157,645,418,151,32,333
1158,202,420,97,39,333
1159,102,421,100,38,333
1160,358,296,77,115,334
1161,644,325,151,90,334
1162,94,346,205,72,334
1163,612,416,174,36,334
1164,172,420,108,36,334
1165,72,421,87,35,334
1166,619,328,157,88,335
1167,358,343,66,67,335
1168,607,418,163,34,335
1169,136,420,113,37,335
1170,595,330,157,86,336
1171,585,418,168,34,336
1172,106,421,114,36,336
1173,570,332,160,84,337
1174,563,417,184,36,337
1175,77,422,113,35,337
1176,136,298,163,117,338
1177,545,334,165,82,338
1178,547,417,178,35,338
1179,104,298,195,117,339
1180,521,335,166,81,339
1181,518,418,203,34,339
1182,494,334,169,83,340
1183,462,417,238,35,340
1184,46,298,225,117,341
1185,471,336,173,80,341
1186,460,417,95,34,341
1187,557,418,101,34,341
1188,447,336,173,80,342
1189,433,417,203,36,342
1190,423,339,170,77,343
1191,399,417,215,41,343
1192,390,340,178,76,344
1193,371,417,187,45,344
1194,361,338,183,78,345
1195,360,415,186,49,345
1196,357,343,165,121,346
1197,353,342,139,74,347
1198,360,416,130,48,347
1199,352,342,110,73,348
1200,358,416,105,48,348
1201,353,351,80,63,349
1202,360,417,76,47,349
1203,240,419,61,40,349
1204,230,346,70,69,350
1205,359,418,61,39,350
1206,214,419,86,40,350
1207,203,345,97,74,351
1208,185,420,115,38,351
1209,172,346,126,71,352
1210,159,418,85,39,352
1211,230,419,70,40,352
1212,143,345,156,72,353
1213,214,419,86,40,353
1214,122,421,89,36,353
1215,112,348,179,69,354
1216,175,419,121,38,354
1217,95,421,81,31,354
1218,83,346,175,73,355
1219,160,419,109,37,355
1220,52,348,175,69,356
1221,23,420,215,54,356
1222,20,348,174,72,357
1223,91,420,119,36,357
